"","egoID","from.alter","alt.alt.tie","egoalt_relation","egoalt_relate_othr","alter.initial","to.alter"
"4488",2099,"209901",NA,"1","","sw","209906"
"4489",2100,"210001",NA,"8","academic","jl","210006"
"4490",2101,"210101",7,"1","","cj","210106"
"4491",2102,"210201",NA,"1","","sl","210206"
"4492",2104,"210401",NA,"1","","tbs","210406"
"4493",2105,"210501",NA,"6","","jg","210506"
"4494",2106,"210601",NA,"8","academic","wl","210606"
"4495",2108,"210801",NA,"8","academic","ch","210806"
"4496",2110,"211001",NA,"1","","mm","211006"
"4497",2111,"211101",0,"6","","mb","211106"
"4498",2112,"211201",NA,"1","","df","211206"
"4499",2116,"211601",NA,"5","","op","211606"
"4500",2117,"211701",NA,"1","","jj","211706"
"4501",2119,"211901",10,"1","","br","211906"
"4502",2120,"212001",10,"1","","cb","212006"
"4503",2121,"212101",5,"1","","md","212106"
"4504",2122,"212201",8,"1","","sb","212206"
"4505",2123,"212301",1,"1","","db","212306"
